sample_id,tcga,tissue,tissue_subtype,ic50,auc
TE-8,ESCA,aero_digestive_tract,oesophagus,0.00552,0.166
JHU-029,HNSC,aero_digestive_tract,head_and_neck,0.00889,0.236
JHU-011,HNSC,aero_digestive_tract,head_and_neck,0.00924,0.212
H3118,UNCLASSIFIED,aero_digestive_tract,head_and_neck,0.00926,0.226
KYSE-30,UNCLASSIFIED,aero_digestive_tract,oesophagus,0.0119,0.217
PCI-6A,HNSC,aero_digestive_tract,head_and_neck,0.0121,0.247
TE-1,ESCA,aero_digestive_tract,oesophagus,0.0149,0.301
Ca9-22,HNSC,aero_digestive_tract,head_and_neck,0.0178,0.295
KYSE-270,ESCA,aero_digestive_tract,oesophagus,0.0178,0.287
T-T,ESCA,aero_digestive_tract,oesophagus,0.0184,0.307
COLO-680N,ESCA,aero_digestive_tract,oesophagus,0.0251,0.365
HSC-3,HNSC,aero_digestive_tract,head_and_neck,0.0253,0.344
OE19,ESCA,aero_digestive_tract,oesophagus,0.0289,0.382
KYSE-510,ESCA,aero_digestive_tract,oesophagus,0.0299,0.37
BHY,HNSC,aero_digestive_tract,head_and_neck,0.0304,0.383
RPMI-2650,HNSC,aero_digestive_tract,head_and_neck,0.0328,0.398
PCI-4B,HNSC,aero_digestive_tract,head_and_neck,0.033,0.393
KON,HNSC,aero_digestive_tract,head_and_neck,0.0332,0.395
SCC-4,HNSC,aero_digestive_tract,head_and_neck,0.034,0.408
KYSE-410,ESCA,aero_digestive_tract,oesophagus,0.0344,0.405
KYSE-140,ESCA,aero_digestive_tract,oesophagus,0.0352,0.411
KYSE-50,ESCA,aero_digestive_tract,oesophagus,0.0361,0.406
BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,0.0379,0.416
KYSE-180,ESCA,aero_digestive_tract,oesophagus,0.0393,0.421
KYSE-70,ESCA,aero_digestive_tract,oesophagus,0.0399,0.428
TE-15,ESCA,aero_digestive_tract,oesophagus,0.0408,0.433
TE-10,ESCA,aero_digestive_tract,oesophagus,0.0411,0.429
KYSE-450,ESCA,aero_digestive_tract,oesophagus,0.0433,0.436
PCI-15A,HNSC,aero_digestive_tract,head_and_neck,0.0449,0.444
HO-1-N-1,HNSC,aero_digestive_tract,head_and_neck,0.0451,0.442
TE-5,ESCA,aero_digestive_tract,oesophagus,0.0451,0.448
HSC-2,HNSC,aero_digestive_tract,head_and_neck,0.0455,0.444
OE33,ESCA,aero_digestive_tract,oesophagus,0.0482,0.458
OE21,ESCA,aero_digestive_tract,oesophagus,0.0496,0.465
